ranks,walltime,force,cells,hash,halo,migrate,energy,comm
1,1152.9365,1026.3953,20.3980,67.5829,0.0025,5.2422,0.6445,5.2447
2,632.6869,541.7289,12.0798,57.8005,2.7545,12.7040,0.3398,15.4586
4,360.1050,286.8212,8.4264,52.2766,3.4221,15.6400,0.1773,19.0621
8,217.1644,152.5641,9.1376,46.4688,7.2207,11.1309,0.0928,18.3516
16,152.5685,115.3883,5.9718,42.5166,25.3416,27.9539,0.0626,53.2955
32,59.4717,41.0236,2.2914,12.2457,16.7476,19.2731,0.0234,36.0207
64,22.5179,16.9289,0.6236,3.6223,4.5583,8.0360,0.0167,12.5943
128,6.7474,5.2948,0.2621,0.5334,0.9780,0.9199,0.0061,1.8980
