ranks,walltime,force,cells,hash,halo,migrate,energy,comm
8,37.8773,32.5138,1.2343,1.6398,0.8295,1.6771,0.0278,2.5067
16,39.1041,33.1212,1.2739,2.0090,1.8647,2.6333,0.0331,4.4980
32,75.4501,66.4611,1.4518,4.3919,37.1813,38.8686,0.0722,76.0499
64,81.3436,70.1841,1.5830,5.3016,23.2950,28.5533,0.0932,51.8484
128,124.3028,109.2127,1.9097,9.3022,46.2484,57.4257,0.1959,103.6741
256,161.8436,114.7828,4.6776,33.0388,38.4616,40.3886,0.5731,78.8502
