ranks,walltime,force,cells,hash,halo,migrate,energy,comm
64,22.2883,17.0579,0.7429,4.3587,5.0872,6.7820,0.0122,11.8692
128,6.7475,5.2992,0.2509,0.6529,1.1397,1.0555,0.0119,2.1952
256,3.5714,2.8825,0.1563,0.3277,0.5220,0.8210,0.0031,1.3430
