derived__shared_spilling_requests_pct [%],0,0
derived_tempMetric0,135.200 {328},135.200 {328}
derived_tempMetric1,"0,02","0,02"
derived_tempMetric2,0,0
derived_tempMetric3,0,0
derived_tempMetric4,0,0
derived_tempMetric5,0,0
device__attribute_architecture,368,368
device__attribute_async_engine_count,5,5
device__attribute_can_flush_remote_writes,0,0
device__attribute_can_map_host_memory,1,1
device__attribute_can_tex2d_gather,1,1
device__attribute_can_use_64_bit_stream_mem_ops,1,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,0,0
device__attribute_can_use_host_pointer_for_registered_mem,1,1
device__attribute_can_use_stream_mem_ops_v1,0,0
device__attribute_can_use_stream_wait_value_nor,1,1
device__attribute_can_use_stream_wait_value_nor_v1,0,0
device__attribute_chip,368,368
device__attribute_clock_rate,1.410.000,1.410.000
device__attribute_cluster_launch,0,0
device__attribute_compute_capability_major,8,8
device__attribute_compute_capability_minor,0,0
device__attribute_compute_mode,0,0
device__attribute_compute_preemption_supported,1,1
device__attribute_concurrent_kernels,1,1
device__attribute_concurrent_managed_access,1,1
device__attribute_confidential_computing_mode,No-CC,No-CC
device__attribute_cooperative_launch,1,1
device__attribute_cooperative_multi_device_launch,1,1
device__attribute_deferred_mapping_cuda_array_supported,1,1
device__attribute_device_index,0,0
device__attribute_direct_managed_mem_access_from_host,0,0
device__attribute_display_name,NVIDIA A100-SXM4-40GB,NVIDIA A100-SXM4-40GB
device__attribute_dma_buf_supported,0,0
device__attribute_ecc_enabled,1,1
device__attribute_fb_bus_width,5.120,5.120
device__attribute_fbp_count,10,10
device__attribute_generic_compression_supported,1,1
device__attribute_global_l1_cache_supported,1,1
device__attribute_global_memory_bus_width,5.120,5.120
device__attribute_gpu_direct_rdma_flush_writes_options,1,1
device__attribute_gpu_direct_rdma_supported,1,1
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,1,1
device__attribute_gpu_direct_rdma_writes_ordering,0,0
device__attribute_gpu_overlap,1,1
device__attribute_gpu_pci_device_id,548.409.566,548.409.566
device__attribute_gpu_pci_ext_device_id,8.368,8.368
device__attribute_gpu_pci_ext_downstream_link_rate,16.000,16.000
device__attribute_gpu_pci_ext_downstream_link_width,16,16
device__attribute_gpu_pci_ext_gen,3,3
device__attribute_gpu_pci_ext_gpu_gen,3,3
device__attribute_gpu_pci_ext_gpu_link_rate,16.000,16.000
device__attribute_gpu_pci_ext_gpu_link_width,16,16
device__attribute_gpu_pci_revision_id,161,161
device__attribute_gpu_pci_sub_system_id,340.660.446,340.660.446
device__attribute_handle_type_fabric_supported,1,1
device__attribute_handle_type_posix_file_descriptor_supported,1,1
device__attribute_handle_type_win32_handle_supported,0,0
device__attribute_handle_type_win32_kmt_handle_supported,0,0
device__attribute_host_native_atomic_supported,0,0
device__attribute_host_numa_id,3,3
device__attribute_host_register_supported,1,1
device__attribute_implementation,368,368
device__attribute_integrated,0,0
device__attribute_ipc_event_supported,1,1
device__attribute_kernel_exec_timeout,0,0
device__attribute_l2_cache_size,41.943.040,41.943.040
device__attribute_l2s_count,80,80
device__attribute_limits_max_cta_per_sm,32,32
device__attribute_limits_num_tpcs,54,54
device__attribute_local_l1_cache_supported,1,1
device__attribute_managed_memory,1,1
device__attribute_max_access_policy_window_size,134.213.632,134.213.632
device__attribute_max_block_dim_x,1.024,1.024
device__attribute_max_block_dim_y,1.024,1.024
device__attribute_max_block_dim_z,64,64
device__attribute_max_blocks_per_multiprocessor,32,32
device__attribute_max_gpu_frequency_khz,1.410.000,1.410.000
device__attribute_max_grid_dim_x,2.147.483.647,2.147.483.647
device__attribute_max_grid_dim_y,65.535,65.535
device__attribute_max_grid_dim_z,65.535,65.535
device__attribute_max_ipc_per_multiprocessor,4,4
device__attribute_max_ipc_per_scheduler,1,1
device__attribute_max_mem_frequency_khz,1.215.000,1.215.000
device__attribute_max_persisting_l2_cache_size,26.214.400,26.214.400
device__attribute_max_pitch,2.147.483.647,2.147.483.647
device__attribute_max_registers_per_block,65.536,65.536
device__attribute_max_registers_per_multiprocessor,65.536,65.536
device__attribute_max_registers_per_thread,255,255
device__attribute_max_shared_memory_per_block,49.152,49.152
device__attribute_max_shared_memory_per_block_optin,166.912,166.912
device__attribute_max_shared_memory_per_multiprocessor,167.936,167.936
device__attribute_max_threads_per_block,1.024,1.024
device__attribute_max_threads_per_multiprocessor,2.048,2.048
device__attribute_max_warps_per_multiprocessor,64,64
device__attribute_max_warps_per_scheduler,16,16
device__attribute_maximum_surface1d_layered_layers,2.048,2.048
device__attribute_maximum_surface1d_layered_width,32.768,32.768
device__attribute_maximum_surface1d_width,32.768,32.768
device__attribute_maximum_surface2d_height,65.536,65.536
device__attribute_maximum_surface2d_layered_height,32.768,32.768
device__attribute_maximum_surface2d_layered_layers,2.048,2.048
device__attribute_maximum_surface2d_layered_width,32.768,32.768
device__attribute_maximum_surface2d_width,131.072,131.072
device__attribute_maximum_surface3d_depth,16.384,16.384
device__attribute_maximum_surface3d_height,16.384,16.384
device__attribute_maximum_surface3d_width,16.384,16.384
device__attribute_maximum_surfacecubemap_layered_layers,2.046,2.046
device__attribute_maximum_surfacecubemap_layered_width,32.768,32.768
device__attribute_maximum_surfacecubemap_width,32.768,32.768
device__attribute_maximum_texture1d_layered_layers,2.048,2.048
device__attribute_maximum_texture1d_layered_width,32.768,32.768
device__attribute_maximum_texture1d_linear_width,268.435.456,268.435.456
device__attribute_maximum_texture1d_mipmapped_width,32.768,32.768
device__attribute_maximum_texture1d_width,131.072,131.072
device__attribute_maximum_texture2d_gather_height,32.768,32.768
device__attribute_maximum_texture2d_gather_width,32.768,32.768
device__attribute_maximum_texture2d_height,65.536,65.536
device__attribute_maximum_texture2d_layered_height,32.768,32.768
device__attribute_maximum_texture2d_layered_layers,2.048,2.048
device__attribute_maximum_texture2d_layered_width,32.768,32.768
device__attribute_maximum_texture2d_linear_height,65.000,65.000
device__attribute_maximum_texture2d_linear_pitch,2.097.120,2.097.120
device__attribute_maximum_texture2d_linear_width,131.072,131.072
device__attribute_maximum_texture2d_mipmapped_height,32.768,32.768
device__attribute_maximum_texture2d_mipmapped_width,32.768,32.768
device__attribute_maximum_texture2d_width,131.072,131.072
device__attribute_maximum_texture3d_depth,16.384,16.384
device__attribute_maximum_texture3d_depth_alternate,32.768,32.768
device__attribute_maximum_texture3d_height,16.384,16.384
device__attribute_maximum_texture3d_height_alternate,8.192,8.192
device__attribute_maximum_texture3d_width,16.384,16.384
device__attribute_maximum_texture3d_width_alternate,8.192,8.192
device__attribute_maximum_texturecubemap_layered_layers,2.046,2.046
device__attribute_maximum_texturecubemap_layered_width,32.768,32.768
device__attribute_maximum_texturecubemap_width,32.768,32.768
device__attribute_mem_sync_domain_count,1,1
device__attribute_memory_clock_rate,1.215.000,1.215.000
device__attribute_memory_pools_supported,1,1
device__attribute_mempool_supported_handle_types,9,9
device__attribute_mps_enabled,0,0
device__attribute_multi_gpu_board,0,0
device__attribute_multi_gpu_board_group_id,0,0
device__attribute_multicast_supported,0,0
device__attribute_multiprocessor_count,108,108
device__attribute_num_l2s_per_fbp,8,8
device__attribute_num_schedulers_per_multiprocessor,4,4
device__attribute_num_tex_per_multiprocessor,1,1
device__attribute_numa_config,0,0
device__attribute_pageable_memory_access,0,0
device__attribute_pageable_memory_access_uses_host_page_tables,0,0
device__attribute_pci_bus_id,3,3
device__attribute_pci_device_id,0,0
device__attribute_pci_domain_id,0,0
device__attribute_ram_location,1,1
device__attribute_ram_type,15,15
device__attribute_reserved_shared_memory_per_block,1.024,1.024
device__attribute_sass_level,8,8
device__attribute_single_to_double_precision_perf_ratio,2,2
device__attribute_sparse_cuda_array_supported,1,1
device__attribute_stream_priorities_supported,1,1
device__attribute_surface_alignment,512,512
device__attribute_tcc_driver,0,0
device__attribute_tensor_map_access_supported,0,0
device__attribute_texture_alignment,512,512
device__attribute_texture_pitch_alignment,32,32
device__attribute_total_constant_memory,65.536,65.536
device__attribute_total_memory,42.405.855.232,42.405.855.232
device__attribute_unified_addressing,1,1
device__attribute_unified_function_pointers,0,0
device__attribute_virtual_address_management_supported,1,1
device__attribute_warp_size,32,32
dram__bytes.avg.per_second [Gbyte/s],"14,56","14,56"
dram__bytes.max.per_second [Gbyte/s],"14,62","14,62"
dram__bytes.min.per_second [Gbyte/s],"14,49","14,50"
dram__bytes.sum.per_second [Gbyte/s],"582,53","582,27"
dram__cycles_active.avg.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
dram__cycles_active.max.pct_of_peak_sustained_elapsed [%],"37,60","37,60"
dram__cycles_active.min.pct_of_peak_sustained_elapsed [%],"37,29","37,30"
dram__cycles_active.sum.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
dram__cycles_elapsed.avg.per_second [Ghz],"1,21","1,21"
dram__cycles_elapsed.max.per_second [Ghz],"1,21","1,22"
dram__cycles_elapsed.min.per_second [Ghz],"1,21","1,21"
dram__cycles_elapsed.sum.per_second [Ghz],"48,59","48,59"
fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed [%],"21,68","21,67"
fbpa__dram_sectors.max.pct_of_peak_sustained_elapsed [%],"21,75","21,74"
fbpa__dram_sectors.min.pct_of_peak_sustained_elapsed [%],"21,59","21,60"
fbpa__dram_sectors.sum.pct_of_peak_sustained_elapsed [%],"21,68","21,67"
gpc__cycles_elapsed.avg [cycle],"340.954,71","341.045,43"
gpc__cycles_elapsed.avg.per_second [Ghz],"1,09","1,09"
gpc__cycles_elapsed.max.per_second [Ghz],"1,09","1,09"
gpc__cycles_elapsed.min [cycle],340.854,340.959
gpc__cycles_elapsed.min.per_second [Ghz],"1,09","1,09"
gpc__cycles_elapsed.sum [cycle],2.386.683,2.387.318
gpc__cycles_elapsed.sum.per_second [Ghz],"7,66","7,66"
gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed [%],"23,38","23,25"
gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed [%],"24,23","23,98"
gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed [%],"22,70","22,39"
gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed [%],"23,38","23,25"
gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],"18,29","18,22"
gpu__compute_memory_access_throughput_internal_activity.max.pct_of_peak_sustained_elapsed [%],"19,56","19,46"
gpu__compute_memory_access_throughput_internal_activity.min.pct_of_peak_sustained_elapsed [%],"17,02","16,98"
gpu__compute_memory_access_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed [%],"18,29","18,22"
gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed [%],"37,60","37,60"
gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed [%],"37,29","37,30"
gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed [%],0,0
gpu__compute_memory_request_throughput_internal_activity.max.pct_of_peak_sustained_elapsed [%],0,0
gpu__compute_memory_request_throughput_internal_activity.min.pct_of_peak_sustained_elapsed [%],0,0
gpu__compute_memory_request_throughput_internal_activity.sum.pct_of_peak_sustained_elapsed [%],0,0
gpu__compute_memory_throughput.max.pct_of_peak_sustained_elapsed [%],"37,60","37,60"
gpu__compute_memory_throughput.min.pct_of_peak_sustained_elapsed [%],"37,29","37,30"
gpu__compute_memory_throughput.sum.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
gpu__dram_throughput.max.pct_of_peak_sustained_elapsed [%],"37,60","37,60"
gpu__dram_throughput.min.pct_of_peak_sustained_elapsed [%],"37,29","37,30"
gpu__dram_throughput.sum.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
gpu__time_duration.avg [us],"311,58","311,68"
gpu__time_duration.max [us],"311,58","311,68"
gpu__time_duration.min [us],"311,58","311,68"
idc__request_cycles_active.avg.pct_of_peak_sustained_elapsed [%],0,0
idc__request_cycles_active.max.pct_of_peak_sustained_elapsed [%],0,0
idc__request_cycles_active.min.pct_of_peak_sustained_elapsed [%],0,0
idc__request_cycles_active.sum.pct_of_peak_sustained_elapsed [%],0,0
inst_executed [inst],66.199.717 {1141},66.200.228 {1141}
l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed [%],"7,85","7,81"
l1tex__data_bank_reads.max.pct_of_peak_sustained_elapsed [%],"8,06","8,04"
l1tex__data_bank_reads.min.pct_of_peak_sustained_elapsed [%],"7,65","7,56"
l1tex__data_bank_reads.sum.pct_of_peak_sustained_elapsed [%],"7,85","7,81"
l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed [%],"3,32","3,30"
l1tex__data_bank_writes.max.pct_of_peak_sustained_elapsed [%],"3,45","3,39"
l1tex__data_bank_writes.min.pct_of_peak_sustained_elapsed [%],"3,21","3,20"
l1tex__data_bank_writes.sum.pct_of_peak_sustained_elapsed [%],"3,32","3,30"
l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed [%],"23,38","23,25"
l1tex__data_pipe_lsu_wavefronts.max.pct_of_peak_sustained_elapsed [%],"24,23","23,98"
l1tex__data_pipe_lsu_wavefronts.min.pct_of_peak_sustained_elapsed [%],"22,70","22,39"
l1tex__data_pipe_lsu_wavefronts.sum.pct_of_peak_sustained_elapsed [%],"23,38","23,25"
l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed [%],0,0
l1tex__data_pipe_tex_wavefronts.max.pct_of_peak_sustained_elapsed [%],0,0
l1tex__data_pipe_tex_wavefronts.min.pct_of_peak_sustained_elapsed [%],0,0
l1tex__data_pipe_tex_wavefronts.sum.pct_of_peak_sustained_elapsed [%],0,0
l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__f_wavefronts.max.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__f_wavefronts.min.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__f_wavefronts.sum.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed [%],"17,40","17,29"
l1tex__lsu_writeback_active.max.pct_of_peak_sustained_elapsed [%],"17,93","17,78"
l1tex__lsu_writeback_active.min.pct_of_peak_sustained_elapsed [%],"16,94","16,87"
l1tex__lsu_writeback_active.sum.pct_of_peak_sustained_elapsed [%],"17,40","17,29"
l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed [%],"11,10","11,03"
l1tex__lsuin_requests.max.pct_of_peak_sustained_elapsed [%],"11,45","11,31"
l1tex__lsuin_requests.min.pct_of_peak_sustained_elapsed [%],"10,71","10,72"
l1tex__lsuin_requests.sum.pct_of_peak_sustained_elapsed [%],"11,10","11,03"
l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed [%],"7,21","7,17"
l1tex__m_l1tex2xbar_req_cycles_active.max.pct_of_peak_sustained_elapsed [%],"7,42","7,39"
l1tex__m_l1tex2xbar_req_cycles_active.min.pct_of_peak_sustained_elapsed [%],"7,01","6,96"
l1tex__m_l1tex2xbar_req_cycles_active.sum.pct_of_peak_sustained_elapsed [%],"7,21","7,17"
l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed [%],"11,90","11,84"
l1tex__m_xbar2l1tex_read_sectors.max.pct_of_peak_sustained_elapsed [%],"12,46","12,38"
l1tex__m_xbar2l1tex_read_sectors.min.pct_of_peak_sustained_elapsed [%],"11,45","11,42"
l1tex__m_xbar2l1tex_read_sectors.sum.pct_of_peak_sustained_elapsed [%],"11,90","11,84"
l1tex__t_sector_hit_rate.pct [%],"77,42","77,45"
l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed [%],0,0
l1tex__tex_writeback_active.max.pct_of_peak_sustained_elapsed [%],0,0
l1tex__tex_writeback_active.min.pct_of_peak_sustained_elapsed [%],0,0
l1tex__tex_writeback_active.sum.pct_of_peak_sustained_elapsed [%],0,0
l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__texin_sm2tex_req_cycles_active.max.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__texin_sm2tex_req_cycles_active.min.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__texin_sm2tex_req_cycles_active.sum.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
l1tex__throughput.avg.pct_of_peak_sustained_active [%],"23,86","23,86"
l1tex__throughput.max.pct_of_peak_sustained_active [%],"24,73","24,61"
l1tex__throughput.min.pct_of_peak_sustained_active [%],"23,17","22,98"
l1tex__throughput.sum.pct_of_peak_sustained_active [%],"23,86","23,86"
launch__barrier_count,0,0
launch__block_dim_x [block],256,256
launch__block_dim_y [block],1,1
launch__block_dim_z [block],1,1
launch__block_size,256,256
launch__context_id,1,1
launch__device_id,0,0
launch__execution_model,SIMT,SIMT
launch__func_cache_config,CachePreferNone,CachePreferNone
launch__function_pcs,1,1
launch__grid_dim_x,7.811,7.811
launch__grid_dim_y,1,1
launch__grid_dim_z,1,1
launch__grid_size,7.811,7.811
launch__kernel_name,{1},{1}
launch__occupancy_limit_blocks [block],32,32
launch__occupancy_limit_registers [block],4,4
launch__occupancy_limit_shared_mem [block],32,32
launch__occupancy_limit_warps [block],8,8
launch__occupancy_per_block_size,1.746 {65},1.746 {65}
launch__occupancy_per_register_count,5.504 {257},5.504 {257}
launch__occupancy_per_shared_mem_size,1.352 {328},1.352 {328}
launch__persisting_l2_cache_size [Mbyte],"7,86","7,86"
launch__registers_per_thread [register/thread],62,62
launch__registers_per_thread_allocated [register/thread],64,64
launch__shared_mem_config_size [Kbyte],"32,77","32,77"
launch__shared_mem_per_block [Kbyte/block],"1,02","1,02"
launch__shared_mem_per_block_allocated [Kbyte/block],"1,02","1,02"
launch__shared_mem_per_block_driver [Kbyte/block],"1,02","1,02"
launch__shared_mem_per_block_dynamic [byte/block],0,0
launch__shared_mem_per_block_static [byte/block],0,0
launch__sm_count [SM],108,108
launch__stack_size,1.024,1.024
launch__stream_id,7,7
launch__thread_count [thread],1.999.616,1.999.616
launch__tpc_count,54,54
launch__tpc_enabled,all,all
launch__user_grid_dim_x,7.811,7.811
launch__user_grid_dim_y,1,1
launch__user_grid_dim_z,1,1
launch__user_grid_size,7.811,7.811
launch__uses_blocks_as_clusters,0,0
launch__uses_cdp,0,0
launch__uses_green_context,0,0
launch__uses_mps,0,0
launch__uses_nvlink_centric_scheduling,0,0
launch__uses_vgpu,0,0
launch__waves_per_multiprocessor,"18,08","18,08"
lts__average_gcomp_input_sector_success_rate.pct [%],0,0
lts__average_gcomp_output_sector_compression_achieved_rate.ratio,0,0
lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed [%],0,0
lts__d_atomic_input_cycles_active.max.pct_of_peak_sustained_elapsed [%],0,0
lts__d_atomic_input_cycles_active.min.pct_of_peak_sustained_elapsed [%],0,0
lts__d_atomic_input_cycles_active.sum.pct_of_peak_sustained_elapsed [%],0,0
lts__d_sectors.avg.pct_of_peak_sustained_elapsed [%],"20,94","20,88"
lts__d_sectors.max.pct_of_peak_sustained_elapsed [%],"22,46","22,39"
lts__d_sectors.min.pct_of_peak_sustained_elapsed [%],"19,35","19,34"
lts__d_sectors.sum.pct_of_peak_sustained_elapsed [%],"20,94","20,88"
lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed [%],"18,24","18,23"
lts__d_sectors_fill_device.max.pct_of_peak_sustained_elapsed [%],"18,28","18,27"
lts__d_sectors_fill_device.min.pct_of_peak_sustained_elapsed [%],"18,19","18,18"
lts__d_sectors_fill_device.sum.pct_of_peak_sustained_elapsed [%],"18,24","18,23"
lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
lts__d_sectors_fill_sysmem.max.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
lts__d_sectors_fill_sysmem.min.pct_of_peak_sustained_elapsed [%],0,0
lts__d_sectors_fill_sysmem.sum.pct_of_peak_sustained_elapsed [%],"0,00","0,00"
lts__gcomp_input_sectors.avg [sector],0,0
lts__gcomp_input_sectors.max [sector],0,0
lts__gcomp_input_sectors.min [sector],0,0
lts__gcomp_input_sectors.sum [sector],0,0
lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed [%],"16,79","16,79"
lts__lts2xbar_cycles_active.max.pct_of_peak_sustained_elapsed [%],"19,59","19,61"
lts__lts2xbar_cycles_active.min.pct_of_peak_sustained_elapsed [%],"13,99","14,06"
lts__lts2xbar_cycles_active.sum.pct_of_peak_sustained_elapsed [%],"16,79","16,79"
lts__t_sector_hit_rate.pct [%],"53,04","53,21"
lts__t_sectors.avg.pct_of_peak_sustained_elapsed [%],"20,83","20,81"
lts__t_sectors.max.pct_of_peak_sustained_elapsed [%],"22,00","21,96"
lts__t_sectors.min.pct_of_peak_sustained_elapsed [%],"19,71","19,69"
lts__t_sectors.sum.pct_of_peak_sustained_elapsed [%],"20,83","20,81"
lts__t_sectors_lookup_miss.avg [sector],"96.750,48","96.610,70"
lts__t_sectors_lookup_miss.max [sector],101.670,101.482
lts__t_sectors_lookup_miss.min [sector],91.736,91.547
lts__t_sectors_lookup_miss.sum [sector],7.740.038,7.728.856
lts__t_sectors_lookup_miss_data_promoted.avg [sector],1.568,"1.558,31"
lts__t_sectors_lookup_miss_data_promoted.max [sector],1.743,1.730
lts__t_sectors_lookup_miss_data_promoted.min [sector],1.391,1.383
lts__t_sectors_lookup_miss_data_promoted.sum [sector],125.440,124.665
lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed [%],"18,33","18,32"
lts__t_tag_requests.max.pct_of_peak_sustained_elapsed [%],"19,76","19,70"
lts__t_tag_requests.min.pct_of_peak_sustained_elapsed [%],"17,09","17,02"
lts__t_tag_requests.sum.pct_of_peak_sustained_elapsed [%],"18,33","18,32"
lts__throughput.avg.pct_of_peak_sustained_elapsed [%],"37,72","37,77"
lts__throughput.max.pct_of_peak_sustained_elapsed [%],"38,62","38,80"
lts__throughput.min.pct_of_peak_sustained_elapsed [%],"36,72","36,67"
lts__throughput.sum.pct_of_peak_sustained_elapsed [%],"37,72","37,77"
lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed [%],"11,36","11,36"
lts__xbar2lts_cycles_active.max.pct_of_peak_sustained_elapsed [%],"13,49","13,51"
lts__xbar2lts_cycles_active.min.pct_of_peak_sustained_elapsed [%],"9,51","9,41"
lts__xbar2lts_cycles_active.sum.pct_of_peak_sustained_elapsed [%],"11,36","11,36"
numa__cpu_affinity,1,1
numa__dev_display_name_all,1,1
numa__id_cpu,1,1
numa__id_memory,1,1
nvlink__bandwidth,0,0
nvlink__count_logical,0,0
nvlink__count_physical,0,0
nvlink__destination_ports,0,0
nvlink__dev0Id,0,0
nvlink__dev0type,0,0
nvlink__dev1Id,0,0
nvlink__dev1type,0,0
nvlink__dev_display_name_all,1,1
nvlink__enabled_mask,4.095,4.095
nvlink__is_direct_link,0,0
nvlink__is_nvswitch_connected,0,0
nvlink__max_count,12,12
nvlink__peer_access,0,0
nvlink__peer_atomic,0,0
nvlink__source_ports,0,0
nvlink__system_access,0,0
nvlink__system_atomic,0,0
profiler__perfworks_session_reuse,0,0
profiler__replayer_bytes_mem_accessible.avg [Mbyte],"369,90","369,90"
profiler__replayer_bytes_mem_accessible.max [Mbyte],"369,90","369,90"
profiler__replayer_bytes_mem_accessible.min [Mbyte],"369,90","369,90"
profiler__replayer_bytes_mem_accessible.sum [Gbyte],"4,07","4,07"
profiler__replayer_bytes_mem_backed_up.avg [Mbyte],"369,90","369,90"
profiler__replayer_bytes_mem_backed_up.max [Mbyte],"369,90","369,90"
profiler__replayer_bytes_mem_backed_up.min [Mbyte],"369,90","369,90"
profiler__replayer_bytes_mem_backed_up.sum [Gbyte],"4,07","4,07"
profiler__replayer_passes [pass],11,11
profiler__replayer_passes_type_warmup [pass],0,0
sass__inst_executed_per_opcode,66.199.717 {38},66.200.228 {38}
sass__inst_executed_per_opcode_category,66.199.717 {9},66.200.228 {9}
sass__inst_executed_per_opcode_pipeline,67.263.369 {11},67.263.884 {11}
sass__inst_executed_per_opcode_with_modifier_all,66.199.717 {65},66.200.228 {65}
sass__inst_executed_per_opcode_with_modifier_selective,66.199.717 {42},66.200.228 {42}
sass__inst_executed_register_spilling [inst],0,0
sass__inst_executed_register_spilling_mem_local [inst],0,0
sass__inst_executed_register_spilling_mem_local_op_read [byte],0,0
sass__inst_executed_register_spilling_mem_local_op_write [byte],0,0
sass__inst_executed_register_spilling_mem_shared [inst],0,0
sass__inst_executed_register_spilling_mem_shared_op_read [byte],0,0
sass__inst_executed_register_spilling_mem_shared_op_write [byte],0,0
sass__inst_executed_register_spilling_op_read [inst],0,0
sass__inst_executed_register_spilling_op_write [inst],0,0
sass__thread_inst_executed_per_opcode_category,1.891.444.391 {9},1.891.444.991 {9}
sass__thread_inst_executed_per_opcode_pipeline,1.909.429.363 {11},1.909.429.967 {11}
sass__thread_inst_executed_true_per_opcode,1.891.444.391 {38},1.891.444.991 {38}
sass__thread_inst_executed_true_per_opcode_with_modifier_all,1.891.444.391 {65},1.891.444.991 {65}
sass__thread_inst_executed_true_per_opcode_with_modifier_selective,1.891.444.391 {42},1.891.444.991 {42}
sm__cycles_active.avg [cycle],"334.095,88","334.130,89"
sm__cycles_active.max [cycle],337.447,338.209
sm__cycles_active.min [cycle],327.858,329.408
sm__cycles_active.sum [cycle],36.082.355,36.086.136
sm__inst_executed.avg.pct_of_peak_sustained_elapsed [%],"44,94","44,68"
sm__inst_executed.avg.per_cycle_active [inst/cycle],"1,83","1,83"
sm__inst_executed.avg.per_cycle_elapsed [inst/cycle],"1,80","1,79"
sm__inst_executed.max.pct_of_peak_sustained_elapsed [%],"46,28","45,66"
sm__inst_executed.max.per_cycle_active [inst/cycle],"1,89","1,87"
sm__inst_executed.max.per_cycle_elapsed [inst/cycle],"1,85","1,83"
sm__inst_executed.min.pct_of_peak_sustained_elapsed [%],"43,77","43,41"
sm__inst_executed.min.per_cycle_active [inst/cycle],"1,79","1,78"
sm__inst_executed.min.per_cycle_elapsed [inst/cycle],"1,75","1,74"
sm__inst_executed.sum.pct_of_peak_sustained_elapsed [%],"44,94","44,68"
sm__inst_executed.sum.per_cycle_active [inst/cycle],"198,15","198,13"
sm__inst_executed.sum.per_cycle_elapsed [inst/cycle],"194,15","193,04"
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_active [%],"0,35","0,35"
sm__inst_executed_pipe_adu.avg.pct_of_peak_sustained_elapsed [%],"0,34","0,34"
sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_active [%],"0,36","0,35"
sm__inst_executed_pipe_adu.max.pct_of_peak_sustained_elapsed [%],"0,35","0,35"
sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_active [%],"0,34","0,34"
sm__inst_executed_pipe_adu.min.pct_of_peak_sustained_elapsed [%],"0,33","0,33"
sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_active [%],"0,35","0,35"
sm__inst_executed_pipe_adu.sum.pct_of_peak_sustained_elapsed [%],"0,34","0,34"
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_active [%],"25,72","25,71"
sm__inst_executed_pipe_alu.avg.pct_of_peak_sustained_elapsed [%],"25,20","25,05"
sm__inst_executed_pipe_alu.max.pct_of_peak_sustained_active [%],"26,64","26,40"
